Unnamed: 0,userName,text,tweetcreatedts,tweet_clean,tweet_english
184,Dian Mavi,Mau lapor susah di akses tolong diperbaiki,04/04/2022 12:16,Mau lapor susah di akses tolong diperbaiki,Want to report hard to access please improve
185,Barnas Indcybernews,Kenapa span lapor ga bisa mengirim laporan yah muter terus ga bisa kekirim laporan saya,03/04/2022 17:34,Kenapa span lapor ga bisa mengirim laporan yah muter terus ga bisa kekirim laporan saya,"Why does it report that can't send a report, yeah, you can't send my report"
186,Pengguna Google,"Di respon dengan baik laporan saya,tapi setelah nya aplikasi nya sulit untuk di gunakan lagi.Mohon untuk di perbaiki karena sangat bermanfaat",01/04/2022 10:46,"Di respon dengan baik laporan saya,tapi setelah nya aplikasi nya sulit untuk di gunakan lagi.Mohon untuk di perbaiki karena sangat bermanfaat","In response to my report well, but after the application is difficult to use again. Please be fixed because it is very useful"
187,Dwi siswanto,"Perlu ada peningkatan sistem nya, mohon segera diperbaiki, terkadang keluar sendiri.",01/04/2022 01:05,"Perlu ada peningkatan sistem nya, mohon segera diperbaiki, terkadang keluar sendiri.","There needs to be an increase in the system, please fix it immediately, sometimes it comes out alone."
188,mas tukiman sragen,Lambat,31/03/2022 06:49,Lambat,Slow
189,Fajri Rachman,Aplikasi error tidak ada perbaikan...tambah kacau pejabat negara ini...percuma makan gaji kerja bobrok,29/03/2022 20:13,Aplikasi error tidak ada perbaikan...tambah kacau pejabat negara ini...percuma makan gaji kerja bobrok,There is no improvement error application ... added chaotic this state official ... useless eating dilapidated work salary
190,Ramdonal Habibi,laporan tidak ada yg ditindaklanjuti.,28/03/2022 23:48,laporan tidak ada yg ditindaklanjuti.,None of the reports were followed up.
191,Harry Pranata,Tolong cepat di perbaiki Saya ingin daftar kok tidak bisa berhasil hanya mutar-mutar aja.,24/03/2022 04:33,Tolong cepat di perbaiki Saya ingin daftar kok tidak bisa berhasil hanya mutar-mutar aja.,"Please fix it quickly, I want to register, how come it can't work just twirling."
192,selly angkasa,Applikasi sering error ga jls,24/03/2022 03:57,Applikasi sering error ga jls,Applications are often unclear errors
193,Katon Firman,tidak ada tindak lanjut penghitungan waktu tidak berjalan hanya berjalan ketika aplikasi dibuka,23/03/2022 11:00,tidak ada tindak lanjut penghitungan waktu tidak berjalan hanya berjalan ketika aplikasi dibuka,There is no follow -up to the time calculation not running only when the application is opened
194,dimas rizky,Need Update,23/03/2022 00:52,Need Update,Need Update
195,wahida henra,Aplikasi gak beres laporan gak bisa terkirim udh coba hp lain jg kek gitu,22/03/2022 11:58,Aplikasi gak beres laporan gak bisa terkirim udh coba hp lain jg kek gitu,"The application is not done, the report cannot be sent, I tried another cellphone too"
196,Mulkan Maulana,App tolong diperbaiki.karena tidak bisa digunakan,20/03/2022 01:02,App tolong diperbaiki.karena tidak bisa digunakan,"App, please improve. Because it can't be used"
197,ikhwanuttaqwa,"Submit lapor tapi ga bisa2, untuk apa ada aplikasi ini coba",19/03/2022 14:43,"Submit lapor tapi ga bisa2, untuk apa ada aplikasi ini coba","Submit report but can't, why is this application try"
198,yatman abu abdurrahman,Apps GJ...daftar aja susah,15/03/2022 10:25,Apps GJ...daftar aja susah,Apps gj ... just list hard
199,Hans Kurniawan,"Berbulan"" laporan ngga ditindak lanjuti. GWS Indonesia... Semoga menjadi negara yang aman, damai, dan tentram",14/03/2022 05:59,"Berbulan"" laporan ngga ditindak lanjuti. GWS Indonesia... Semoga menjadi negara yang aman, damai, dan tentram","For months ""reports are not followed up. GWS Indonesia ... hopefully become a safe, peaceful and peaceful country"
200,Efraim Soni,"nampak kali aplikasi pemerintahan,, gak ada yg beres pas di klik kirim ntah loading terus... org pas nego sama programmer nya cuma sampe jdi aplikasi, yg admin nya cuma pns yg mau kerja dri senin - jumat",13/03/2022 09:00,"nampak kali aplikasi pemerintahan,, gak ada yg beres pas di klik kirim ntah loading terus... org pas nego sama programmer nya cuma sampe jdi aplikasi, yg admin nya cuma pns yg mau kerja dri senin - jumat","It appears that the government application times, nothing is right when you click on sending it to loading ... org when negotiable with the programmer only until the application, the admin is only a civil servant who wants to work from Monday - Friday"
201,Ayu Widya Srikandi,"Sangat buruk ,",13/03/2022 03:41,"Sangat buruk ,","Very bad ,"
202,Agha Sinatria,Kenapa susah saat mengunggah laporan. Kalo sudah begini apa fungsinya. Tolong team IT aplikasi diperbaiki lagi,12/03/2022 11:37,Kenapa susah saat mengunggah laporan. Kalo sudah begini apa fungsinya. Tolong team IT aplikasi diperbaiki lagi,"Why is it difficult when uploading a report.If it's like this, what's the function.Please repair it again"
203,fatoni fatoni,Aplikasi bagus membantu dalam pelaporan untuk membangun negeri. Cuman niat gak membuat aplikasi ini. Aplikasi error terus dalam membuat laporan tidak terkirim2. Udah d update juga sama aja tidak ada perubahan. Tolong d perbaiki secepatnya.,12/03/2022 05:13,Aplikasi bagus membantu dalam pelaporan untuk membangun negeri. Cuman niat gak membuat aplikasi ini. Aplikasi error terus dalam membuat laporan tidak terkirim2. Udah d update juga sama aja tidak ada perubahan. Tolong d perbaiki secepatnya.,"Good application helps in reporting to build the country.Only the intention is not to make this application.Error applications continue to make reports not sent.Already updated the same is the same, there is no change.Please fix it as soon as possible."
204,Ionex Staycool,saya menginikan supaya tau,11/03/2022 23:06,saya menginikan supaya tau,I ambidden to know
205,Ali Afif,Aplikasi sudah berhari hari tidak bisa reset password dan pada step 3 kirim tidak bisa mengirim aspirasi ataupun pengaduan.,10/03/2022 02:43,Aplikasi sudah berhari hari tidak bisa reset password dan pada step kirim tidak bisa mengirim aspirasi ataupun pengaduan.,The application has been able to reset the password for days and the shipping step cannot send aspirations or complaints.
206,POCONG Gaming,Sering EROR,09/03/2022 15:51,Sering EROR,Often error
207,Dadi Martono,"Alhamdulillah sudah lancar lagi aplikasi nya, Terimakasih ,admin",09/03/2022 06:46,"Alhamdulillah sudah lancar lagi aplikasi nya, Terimakasih ,admin","Alhamdulillah, the application is smooth again, thank you, admin"
208,ARYA SYAPUTRA,Aplikasi tidak bisa di buka sudah 3 bulan. Apa ada pihak yg terganggu dengan aplikasi ini. Tolong dong d tingkatkan lagi aplikasi sangat berguna.,08/03/2022 12:07,Aplikasi tidak bisa di buka sudah bulan. Apa ada pihak yg terganggu dengan aplikasi ini. Tolong dong d tingkatkan lagi aplikasi sangat berguna.,The application cannot be opened.Is there a party that is disturbed by this application.Please increase the application again very useful.
209,Zainal Asyikin,Pemerintah pada bagiannya mohonsupaya bisa maksimal dalam menyediakan sarana terhadap masyarakatnya jangan setengah2 untuk hal aplikasi ini hususnya supaya dimaksimalkan jangan sampai kami masyarakat berfikir buruk terhadap dewan kerja yg bertugas akan hal ini seolah kalian coba menghadang kami yg akan melaporkan sesuatu. Tolong supaya diperbaiki aplikasinya indoneaia ini kaya bisa bayar tenaga ahli yg profesional jangan sampai terkesan miskin hal seperti ini saja menteri bagian tidak bisa atasi,08/03/2022 03:57,Pemerintah pada bagiannya mohonsupaya bisa maksimal dalam menyediakan sarana terhadap masyarakatnya jangan setengah2 untuk hal aplikasi ini hususnya supaya dimaksimalkan jangan sampai kami masyarakat berfikir buruk terhadap dewan kerja yg bertugas akan hal ini seolah kalian coba menghadang kami yg akan melaporkan sesuatu. Tolong supaya diperbaiki aplikasinya indoneaia ini kaya bisa bayar tenaga ahli yg profesional jangan sampai terkesan miskin hal seperti ini saja menteri bagian tidak bisa atasi,"The government in its part is that it can be maximized in providing facilities for the community not to half for this application, especially so that we are maximized, we don't think that we think badly to the work council on duty as if you try to block us who will report something.Please improve the application Indonesia is rich, you can pay professional experts, not to seem poor, things like this, the minister"
210,hendra gautama,"Terimakasih sudah adanya aplikasi bagus seperti ini. Pelaporan nya langsung di tanggapi oleh pemerintah pusat. Sangat keren, harapannya lebih di tingkat kan lagi.",07/03/2022 08:29,"Terimakasih sudah adanya aplikasi bagus seperti ini. Pelaporan nya langsung di tanggapi oleh pemerintah pusat. Sangat keren, harapannya lebih di tingkat kan lagi.","Thank you for a good application like this.The reporting was directly responded by the central government.Very cool, the hope is more at the level right."
211,Mukti Taruna,"Apa cuma saya yg anggep aplikasi ini ga guna, sedih bgt dah coba lapor tapi ga guna aplikasi nya. Pas scroll ke bawah liat aplikasi ini sampe detik ini apa yg saya pernah lapor ga ada jawaban. Anggaran dah berapa di buat untuk aplikasinya tapi respon aplikasi ga ada. Ada yg kerja ga sih?",07/03/2022 04:31,"Apa cuma saya yg anggep aplikasi ini ga guna, sedih bgt dah coba lapor tapi ga guna aplikasi nya. Pas scroll ke bawah liat aplikasi ini sampe detik ini apa yg saya pernah lapor ga ada jawaban. Anggaran dah berapa di buat untuk aplikasinya tapi respon aplikasi ga ada. Ada yg kerja ga sih?","Is it the only one who thinks that this application is not useful, sadly try to report but not use the application.When scrolled down, see this application until this moment what I have reported no answer.The budget is made for the application but the application response does not exist.Does anyone work?"
212,Dhika Jaya,Udah 1 minggu Applikasi internal server...,07/03/2022 01:32,Udah minggu Applikasi internal server...,Already Sunday Internal Server Application ...
213,Romli Romli,"Eror sekarang tidak konek, padahal manfaatnya luar biasa",06/03/2022 14:10,"Eror sekarang tidak konek, padahal manfaatnya luar biasa","Error is now not connected, even though the benefits are extraordinary"
214,Malaikat Malam,Layanan jaringan sangat lambat dan buruk,04/03/2022 02:40,Layanan jaringan sangat lambat dan buruk,Network services are very slow and bad
215,Fajar Yusuf Abadi,"Jaringan dirumah sangat stabil tapi aplikasi tetep muter2, tampilan dan menu kurang lengkap. Nanti sy ubah penilaian jika sudah diperbaiki atau update. Terimakaci",03/03/2022 14:46,"Jaringan dirumah sangat stabil tapi aplikasi tetep muter2, tampilan dan menu kurang lengkap. Nanti sy ubah penilaian jika sudah diperbaiki atau update. Terimakaci","The network at home is very stable but the application is still playing, the display and menu is incomplete.Later I will change the assessment if it has been fixed or updated.Tear"
216,Ben Ind.,Apakah aplikasi begini ada gunanya ???,03/03/2022 11:11,Apakah aplikasi begini ada gunanya ???,Is the application like this ???
217,Ahmadi amad,"Aplikasinya kok nggak bisa dibuka, terus gimana cara lapornya....?",02/03/2022 11:46,"Aplikasinya kok nggak bisa dibuka, terus gimana cara lapornya....?","How come the application can't be opened, then how do you report it ...?"
218,Nixon simamora,Ga tau Kapan pernah download ginian ya ? Tiba tiba udah minta bintang aja,02/03/2022 05:24,Ga tau Kapan pernah download ginian ya ? Tiba tiba udah minta bintang aja,"I don't know when to download it, huh?Suddenly I just asked for a star"
219,deti epriani,Saya coba daftar gagal terus.. padahal saya mau laporkan tentang pengangkatan dan pemberhentian perangkat Desa yang tidak prosedural,01/03/2022 15:58,Saya coba daftar gagal terus.. padahal saya mau laporkan tentang pengangkatan dan pemberhentian perangkat Desa yang tidak prosedural,I try to continue to fail to fail ... even though I want to report about the appointment and dismissal of the village apparatus that is not procedural
220,harumi tv,Woi span lapor kenapa gk bisa di akses? Ulah pejabat daerah ya? Biar kebobrokan pemimpin daerah gk terbongkar?,01/03/2022 14:16,Woi span lapor kenapa gk bisa di akses? Ulah pejabat daerah ya? Biar kebobrokan pemimpin daerah gk terbongkar?,"Wow, why does it report, why can't it be accessed?The act of regional officials huh?So that the depravity of the regional leader is not revealed?"
221,Muhammad hafid sayfullah,"Aplikasi sangat berguna bagi seluruh masyarakat Indonesia, ada kendala bsedikit ketika mengajukan Aspirasi dan informasi, server selalu error. Salam Indonesia maju",01/03/2022 06:00,"Aplikasi sangat berguna bagi seluruh masyarakat Indonesia, ada kendala bsedikit ketika mengajukan Aspirasi dan informasi, server selalu error. Salam Indonesia maju","The application is very useful for all Indonesian people, there are little obstacles when applying for aspirations and information, the server is always an error.Salam Indonesia Maju"
222,Chepz Purba,"Mau Laporan, sudah semingguan ini aplikasi SP4N LAPOR! Gagal terkoneksi keaplikasi. Silahkan coba kembali. Sudah dicoba lagi, muncul tulisan Internal Server Error : server error. Mohon informasinya. Terimakasih. Salam!",27/02/2022 21:02,"Mau Laporan, sudah semingguan ini aplikasi SP4N LAPOR! Gagal terkoneksi keaplikasi. Silahkan coba kembali. Sudah dicoba lagi, muncul tulisan Internal Server Error : server error. Mohon informasinya. Terimakasih. Salam!","Want a report, it is a week this SP4N application reports!Failed to connect to application.Please try again.Already tried again, the writing of the Internal Server Error: Server Error appears.Information please.Thanks.Regards!"
223,adul project,Aplikasinya gagal terkoneksi terus,26/02/2022 12:10,Aplikasinya gagal terkoneksi terus,The application fails to be connected continuously
224,Fidal Jourdan Christian,Terima kasih,26/02/2022 07:31,Terima kasih,Thank you
225,Didi Hardiana,Aku uninstal karna aplikasynya eror,26/02/2022 06:40,Aku uninstal karna aplikasynya eror,I uninstall because the application is error
226,Andi Wae,"Kenapa aplikasi lapor ku server eror trs, tdk bisa buat mengirim laporan, , 2 bintang dulu kalo saya sudah bisa mengirim laporan baru aku tambahin, terimakasih",26/02/2022 04:32,"Kenapa aplikasi lapor ku server eror trs, tdk bisa buat mengirim laporan, , bintang dulu kalo saya sudah bisa mengirim laporan baru aku tambahin, terimakasih","Why does the Laporku Server Error application continue, can't make reports, star first if I can send a new report I added, thank you"
227,andrian 3009,Internal server eror teruss,25/02/2022 08:50,Internal server eror teruss,Internal Server Error continues
228,L G,Aplikasi yang kelihatan bermanfaat... Kenyataannya respon admin tidak ada.. Skrg malah eror,25/02/2022 07:44,Aplikasi yang kelihatan bermanfaat... Kenyataannya respon admin tidak ada.. Skrg malah eror,Applications that look useful ... in fact admin response does not exist .. now even error
229,Akas Setiawan,"Salam, melaporkan kepada admin developer aplikasi sp4n Lapor! Bahwa sudah 2 hari ini aplikasi sp4n Lapor! Pada hp saya tidak bisa digunakan dengan pesan internal server error, mohon perbaikan nya. Terimakasih",25/02/2022 03:01,"Salam, melaporkan kepada admin developer aplikasi sp4n Lapor! Bahwa sudah hari ini aplikasi sp4n Lapor! Pada hp saya tidak bisa digunakan dengan pesan internal server error, mohon perbaikan nya. Terimakasih","Greetings, report to the SP4N Application Admin Developer report!That today the SP4N application reports!On my cellphone I can't be used with an internal server error message, please improve it.Thank you"
230,Muhammad HS,Aplikasi sampah.. Eror..,24/02/2022 11:04,Aplikasi sampah.. Eror..,Garbage application .. error ..
231,Heru Purnomo EWF SEMARANG,Tidak bisa di gunakan dengan respon server eror,24/02/2022 10:47,Tidak bisa di gunakan dengan respon server eror,Cannot be used with a server error response
232,Masyhudi,Internal Server Error,24/02/2022 09:41,Internal Server Error,Internal Server Error
233,Keane trunks kusye,aplikasi error' dari tgl 23 Februari 2022 sampai saat ini tgl 24 Februari 2022 tidak bisa dibuka.,24/02/2022 09:04,aplikasi error' dari tgl Februari sampai saat ini tgl Februari tidak bisa dibuka.,The error application 'from February until now on February cannot be opened.
234,Indosat Nian,Ok mantap????,23/02/2022 19:02,Ok mantap????,Ok great ????
235,Yoga Prayetno,Mohon tambahkan fitur hapus laporan. Terima kasih,21/02/2022 05:02,Mohon tambahkan fitur hapus laporan. Terima kasih,Please add the Delete Report feature.Thank you
236,Ma Sudrajat69,"Lapor!!! Susah bener mau masuk layanan applikasi ini, serba salah mulu....",20/02/2022 10:37,"Lapor!!! Susah bener mau masuk layanan applikasi ini, serba salah mulu....","Report!!!It's really hard to enter this application service, it's completely wrong ...."
237,Pandu F.,"Sebenarnya aplikasi ini sangat bermanfaat, hanya saja jadi percuma kalau permasalahan yang diungkapkan tidak segera ditangani oleh pihak terkait.",16/02/2022 22:09,"Sebenarnya aplikasi ini sangat bermanfaat, hanya saja jadi percuma kalau permasalahan yang diungkapkan tidak segera ditangani oleh pihak terkait.","Actually this application is very useful, it's just that it becomes useless if the problems revealed are not immediately handled by related parties."
238,SS SS,"Jangan download deh, percuma apk ini cuma pajangan saja, sy sudah mencoba lapor eh malah gak ditindaklanjuti, hanya prank ini. Uninstall jadinya!",16/02/2022 00:32,"Jangan download deh, percuma apk ini cuma pajangan saja, sy sudah mencoba lapor eh malah gak ditindaklanjuti, hanya prank ini. Uninstall jadinya!","Don't download it, it's useless, this apk is just a display, I have tried to report it, but I don't even follow up, only this prank.Uninstall so!"
239,Sardana M Sitakar,Internal servee error. Tidak bisa menyampaikan Aspirasi,10/02/2022 08:32,Internal servee error. Tidak bisa menyampaikan Aspirasi,Internal Server Error.Cannot convey aspirations
240,Asep Daroji,Sangat bermanfaat sekali untuk meningkatkan layanan publik pemerintah,09/02/2022 12:30,Sangat bermanfaat sekali untuk meningkatkan layanan publik pemerintah,Very useful to improve government public services
241,abra cad abra,Kenapa masih ga bisa aplikasinya?,09/02/2022 03:41,Kenapa masih ga bisa aplikasinya?,Why can't the application still?
242,Agus Tinus,sangat baik dan bagus bermanfaat bagi rakyat Indonesia yg sangat membutuhkan????????,31/01/2022 05:42,sangat baik dan bagus bermanfaat bagi rakyat Indonesia yg sangat membutuhkan????????,very good and good useful for the people of Indonesia who really need ????????
243,Cenk Serry,"Sekian lama menunggu, apk masih tidak bisa di buka.",29/01/2022 11:53,"Sekian lama menunggu, apk masih tidak bisa di buka.","For a long time waiting, the APK still can't be opened."
244,Mamad Bond,"Sementara dikasih 1 bintang. Menu nya nasional, tidak bisa Pemda setempat.",28/01/2022 06:51,"Sementara dikasih bintang. Menu nya nasional, tidak bisa Pemda setempat.","While given a star.The menu is national, it cannot be the local government."
245,Marizky Qii,Najis....muter muter doang. Gabisa digunaiin,28/01/2022 02:04,Najis....muter muter doang. Gabisa digunaiin,Unclean .... playing around.Can't be used
246,ali efendi,"percuma lapor ,laporan dari tanggal 1 november 2021 sampai dengan hari ini tidak ditanggapi",27/01/2022 04:58,"percuma lapor ,laporan dari tanggal november sampai dengan hari ini tidak ditanggapi","It's useless to report, reports from November to today are not responded"
247,Yan aby Wahyu,"Aplikasi ini sangat sangat bagus. Pihak terkait langsung gerak cepat menanggapi aduan masyarakat, juga menerjunkan langsung petugas untuk menangani aduan masyarakat. Terbaik lah aplikasi ini dan tim yang bertugas. Terimakasih banyak. Kalau bisa kasih bintang 100, saya akan kasih, bintang 5 terlalu sedikit untuk kinerja yg sangat sangat terbaik",26/01/2022 09:01,"Aplikasi ini sangat sangat bagus. Pihak terkait langsung gerak cepat menanggapi aduan masyarakat, juga menerjunkan langsung petugas untuk menangani aduan masyarakat. Terbaik lah aplikasi ini dan tim yang bertugas. Terimakasih banyak. Kalau bisa kasih bintang , saya akan kasih, bintang terlalu sedikit untuk kinerja yg sangat sangat terbaik","This application is very very good.Related parties immediately move quickly to respond to community complaints, also deploy officers directly to handle community complaints.The best application and the team on duty.Thanks very much.If you can give you a star, I will give it, the stars are too little for the very best performance"
248,Chevy Suteja,Sangat Bagus,25/01/2022 03:43,Sangat Bagus,Very good
249,ReyZnha SyiChaNdha,"semoga segera trjawab,krn sy mau melaporkan pihak sekolah yg trlalu pilih2 dan mengada2",24/01/2022 18:46,"semoga segera trjawab,krn sy mau melaporkan pihak sekolah yg trlalu pilih2 dan mengada2","Hopefully soon you answer, because I want to report the school who is too choosing and making it up"
250,nano romansah,Untuk apa kalau gak da respon..?,22/01/2022 10:21,Untuk apa kalau gak da respon..?,For what if there is no response ..?
251,mee dhian,Aplikasi ini sangat membantu Pelaporan kepada pihak berwajib proses cepat tidak bertele tele dan langsung diproses pasang aplikasi ini karena banyak sekali terjadi penipuan secara terang2an tanpa memperhitungkan akibatnya.sukses selalu cepat pasang aplikasi ini yang sangat menguntungkan kita yang berkecimpung didunia bisnis.,21/01/2022 20:59,Aplikasi ini sangat membantu Pelaporan kepada pihak berwajib proses cepat tidak bertele tele dan langsung diproses pasang aplikasi ini karena banyak sekali terjadi penipuan secara terang2an tanpa memperhitungkan akibatnya.sukses selalu cepat pasang aplikasi ini yang sangat menguntungkan kita yang berkecimpung didunia bisnis.,"This application is very helpful for reporting to the authorities, the fast process is not wordy and is immediately processed by this application because there are a lot of frauds in the blame clearly without taking into account the consequences."
252,Si Bor,Keren,21/01/2022 07:46,Keren,Cool
253,2MIN,"Gw harap aplikasi ini tidak hanya difokuskan untuk melaporkan pelayanan publik, tapi juga sebagai pengumpulan ide-ide rakyat Indonesia untuk memajukan bangsa, perlu fokus untuk membuat suatu forum untuk saling berdiskusi memikirkan yang terbaik untuk bangsa. Karena banyak masyarakat yang ingin menyampaikan ide-idenya yang inovatif, seperti media sosial Indonesia yang berfokus untuk memajukan bangsa. Menjadi forum komunitas yg edukatif, buatlah aplikasi seperti itu ??????",21/01/2022 04:07,"Gw harap aplikasi ini tidak hanya difokuskan untuk melaporkan pelayanan publik, tapi juga sebagai pengumpulan ide-ide rakyat Indonesia untuk memajukan bangsa, perlu fokus untuk membuat suatu forum untuk saling berdiskusi memikirkan yang terbaik untuk bangsa. Karena banyak masyarakat yang ingin menyampaikan ide-idenya yang inovatif, seperti media sosial Indonesia yang berfokus untuk memajukan bangsa. Menjadi forum komunitas yg edukatif, buatlah aplikasi seperti itu ??????","I hope this application is not only focused on reporting public services, but also as a collection of ideas of the Indonesian people to advance the nation, it is necessary to focus on making a forum to discuss each other to think about the best for the nation.Because many people want to convey their innovative ideas, such as Indonesian social media which focuses on advancing the nation.Become an educational community forum, make applications like that ??????"
254,anugerah mandiri,Terima kasih dg adanya lapor sangat membantu masyarakat,20/01/2022 13:42,Terima kasih dg adanya lapor sangat membantu masyarakat,Thank you for the report very helping the community
255,abdul rohim,Ga ada tanggapan... Percuma bikin laporan jg... Ga bakal didenger...,19/01/2022 12:32,Ga ada tanggapan... Percuma bikin laporan jg... Ga bakal didenger...,There is no response ... it's useless to make a report too ... won't be heard ...
256,sy margg,"sering bermasalah, tidak bisa posting laporan",19/01/2022 06:52,"sering bermasalah, tidak bisa posting laporan","often problematic, can't post reports"
257,Kang aprak Kang aprak,"Ko kenapa aplikasi ga bisa kirim ya , wah percuma dong donload",18/01/2022 12:53,"Ko kenapa aplikasi ga bisa kirim ya , wah percuma dong donload","How come the application can't send it, wow, it's useless to download"
258,hen ana,Lapor saya lapar,17/01/2022 01:36,Lapor saya lapar,I reported hungry
259,Su nar (Sunar),"Semoga selalu respinsif, dan memberi pelayanan terbaik untuk masyarakat.",13/01/2022 10:32,"Semoga selalu respinsif, dan memberi pelayanan terbaik untuk masyarakat.","Hopefully always respond, and provide the best service for the community."
260,IMAM NURSYAHRI,Tidak ada pilihan pelaporan untuk pelayanan warga desa,12/01/2022 07:39,Tidak ada pilihan pelaporan untuk pelayanan warga desa,There is no reporting option for village residents' services
261,opis Laia,Buruk banget aplikasinya,12/01/2022 03:23,Buruk banget aplikasinya,The application is really bad
262,Paman Edi,Aplikasi tidak berfungsi,11/01/2022 12:29,Aplikasi tidak berfungsi,The application is not functioning
263,budi hartanto,Ga bisa di pakai,11/01/2022 11:09,Ga bisa di pakai,Can't be used
264,pebe kalsel,"aplikasi ga guna, di download ga bsa dipke",10/01/2022 00:54,"aplikasi ga guna, di download ga bsa dipke","no use applications, downloaded can not be used"
265,AMAH SEWANGI WIJAYA “AMAH”,Kenapa saat ini aplikasi lapor tidak bisa padahal ini tahun 2022,08/01/2022 14:59,Kenapa saat ini aplikasi lapor tidak bisa padahal ini tahun,Why currently the reporting application cannot be even though this is the year
266,Mualim 21,Aplikasi gx guna....gx bisa di pakai....cuma gimmick...gx serius....kenapa pelayanan di kecamatan yg harusnya gratis di kenakan biaya...?? saya mau lapor tapi aplikasinya gx guna....,08/01/2022 01:33,Aplikasi gx guna....gx bisa di pakai....cuma gimmick...gx serius....kenapa pelayanan di kecamatan yg harusnya gratis di kenakan biaya...?? saya mau lapor tapi aplikasinya gx guna....,GX application for .... gx can be used .... only gimmick ... gx serious .... why is the service in the sub -district that should be free to charge ... ??I want to report but the application is GX for ....
267,darma stallone,Perbaikan aplikasinya terlalu lama,07/01/2022 23:06,Perbaikan aplikasinya terlalu lama,The application improvement is too long
268,M Denny Fardhan,Pengaduan sudah lama dikirim tidak ada respon Apakah ini serius akan menangkap aspirasi masyarakat... Atau sekedar proyek? Semoga masih ada kesungguhan untuk kebaikan,07/01/2022 16:37,Pengaduan sudah lama dikirim tidak ada respon Apakah ini serius akan menangkap aspirasi masyarakat... Atau sekedar proyek? Semoga masih ada kesungguhan untuk kebaikan,Complaints have long been sent there is no response whether this will seriously capture the aspirations of the community ... or just a project?I hope there is still seriousness for good
269,Taufiq Rahman Rahman,"Katanya pemeliharaan dari tgl 25 desember sampai 2 januari 2022, nyatanya sampai sekarang 7 januari 2022 masih belum bisa di buka.",07/01/2022 10:57,"Katanya pemeliharaan dari tgl desember sampai januari , nyatanya sampai sekarang januari masih belum bisa di buka.","He said maintenance from December to January, in fact until now January still could not be opened."
270,Sumiaty Wijaya,Kenapa gak bisa di buka aplikasi ini ?,07/01/2022 07:41,Kenapa gak bisa di buka aplikasi ini ?,Why can't you open this application?
271,M. DENI,"Lol, Aplikasi milik pemerintq Migrasinya lama banget kalah sm milik swasta",06/01/2022 11:20,"Lol, Aplikasi milik pemerintq Migrasinya lama banget kalah sm milik swasta","LOL, the application belonging to the migration government is very long losing SM -owned"
272,Parteng Sports,"Ada apa Lagi ini applikasi SP4N LAPOR, yang sangat bagus. Tidak bisa di Akses. Kenapa Harus Migrasi ?? Ke Pusat Data Nasional, supaya apa ?? Astafirulloh.",05/01/2022 18:35,"Ada apa Lagi ini applikasi SP4N LAPOR, yang sangat bagus. Tidak bisa di Akses. Kenapa Harus Migrasi ?? Ke Pusat Data Nasional, supaya apa ?? Astafirulloh.","What else is this SP4N Report application, which is very good.Can not be accessed.Why Migration ??To the national data center, so what ??Astafirulloh."
273,dede kurniawan,"Pertama lapor sih oke , laporan kedua blm ada kinerja , aplikasi ga bsa di akses",05/01/2022 05:35,"Pertama lapor sih oke , laporan kedua blm ada kinerja , aplikasi ga bsa di akses","First report, it's okay, the second report has not been performance, the application can't be accessed"
274,Marsellino Anggara Putra,Aplikasinya gak bisa padahal mau lapor kinerja kerja dinas sosial,05/01/2022 02:24,Aplikasinya gak bisa padahal mau lapor kinerja kerja dinas sosial,The application can't be even though you want to report the work performance of the Social Service
275,ikhsan aja,"Aplikasi ini masih tersedia gak sih? Koq gagal login, ""tidak bisa terhubung coba beberapa saat lagi"" LMFAO..",04/01/2022 05:47,"Aplikasi ini masih tersedia gak sih? Koq gagal login, ""tidak bisa terhubung coba beberapa saat lagi"" LMFAO..","Is this application still available?How much failed to log in, ""can't be connected try a few more moments"" lmfao .."
276,Nanang Riyadin Riyadin,Saya dukung.....!!!,04/01/2022 04:40,Saya dukung.....!!!,I support ..... !!!
277,Encep Hernandi,Sangat kecewa dengan aplikasi span lapor yg tdk bisa digunakan.. apakah web Aplikasi Lapor sudah di hapus dan di ganti kan oleh aplikasi ini yg ada di play store..,03/01/2022 08:19,Sangat kecewa dengan aplikasi span lapor yg tdk bisa digunakan.. apakah web Aplikasi Lapor sudah di hapus dan di ganti kan oleh aplikasi ini yg ada di play store..,Very disappointed with the span report application that cannot be used ... whether the report web application has been deleted and replaced by this application that is in the Play Store ..
278,Ely Handayani,"Belum buka sampai sekarang ya?? Sudah tanggal 3, tapi apps masih belum bisa dibuka",03/01/2022 06:15,"Belum buka sampai sekarang ya?? Sudah tanggal , tapi apps masih belum bisa dibuka","Not yet open until now huh ??It's date, but the apps still can't be opened"
